Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"41", 4.16, 3,    2728.34,  118.8,     1.136, 0, 0, 0, 0, 0, 0, 0, 0
"42", 4.16, 1,    1975.37,    0.0,   0.82246, 2,    2059.04, -120.6,    0.8573, 3,    2726.32,  118.7,    1.1351
"43", 4.16, 2,    2055.79, -120.6,   0.85595, 0, 0, 0, 0, 0, 0, 0, 0
"44", 4.16, 1,    1973.02,   -0.1,   0.82148, 2,    2057.14, -120.6,   0.85651, 3,    2723.42,  118.7,    1.1339
"45", 4.16, 1,    1971.69,   -0.1,   0.82093, 0, 0, 0, 0, 0, 0, 0, 0
"47", 4.16, 1,    1970.91,   -0.1,    0.8206, 2,     2054.3, -120.6,   0.85532, 3,    2719.88,  118.6,    1.1324
"46", 4.16, 1,    1970.67,   -0.1,   0.82051, 0, 0, 0, 0, 0, 0, 0, 0
"48", 4.16, 1,    1970.39,   -0.1,   0.82039, 2,    2053.59, -120.6,   0.85503, 3,    2718.97,  118.6,    1.1321
"49", 4.16, 1,    1970.33,   -0.1,   0.82036, 2,    2052.73, -120.6,   0.85467, 3,    2718.85,  118.6,     1.132
"50", 4.16, 1,    1970.33,   -0.1,   0.82036, 2,    2052.78, -120.6,   0.85469, 3,    2717.84,  118.6,    1.1316
"51", 4.16, 1,    1969.91,   -0.1,   0.82019, 2,    2052.99, -120.6,   0.85478, 3,    2717.79,  118.6,    1.1316
"151", 4.16, 1,    1969.91,   -0.1,   0.82019, 2,    2052.99, -120.6,   0.85478, 3,    2717.79,  118.6,    1.1316
"52", 4.16, 1,    1805.32,    1.2,   0.75166, 2,    1894.57, -120.5,   0.78882, 3,    2811.36,  118.7,    1.1705
"53", 4.16, 1,    1705.91,    1.6,   0.71027, 2,    1801.62, -120.6,   0.75012, 3,    2838.05,  118.6,    1.1816
"54", 4.16, 1,    1644.18,    1.8,   0.68457, 2,    1743.32, -120.7,   0.72585, 3,    2854.78,  118.5,    1.1886
"55", 4.16, 1,    1643.76,    1.8,   0.68439, 2,    1743.12, -120.7,   0.72576, 3,    2854.94,  118.5,    1.1887
"57", 4.16, 1,     1463.4,    1.8,    0.6093, 2,    1549.32, -120.7,   0.64507, 3,    2912.99,  118.2,    1.2128
"56", 4.16, 1,    1643.71,    1.8,   0.68437, 2,    1742.72, -120.7,    0.7256, 3,    2855.13,  118.5,    1.1888
"58", 4.16, 2,    1548.05, -120.7,   0.64454, 0, 0, 0, 0, 0, 0, 0, 0
"60", 4.16, 1,    1076.15,    1.8,   0.44806, 2,    1135.51, -120.6,   0.47278, 3,    3036.88,  117.6,    1.2644
"59", 4.16, 2,    1547.41, -120.7,   0.64428, 0, 0, 0, 0, 0, 0, 0, 0
"61", 4.16, 1,    1076.15,    1.8,   0.44806, 2,    1135.51, -120.6,   0.47278, 3,    3036.88,  117.6,    1.2644
"62", 4.16, 1,    1075.43,    1.8,   0.44776, 2,     1134.4, -120.5,   0.47232, 3,    3029.58,  117.6,    1.2614
"63", 4.16, 1,    1074.73,    1.8,   0.44747, 2,    1133.35, -120.5,   0.47188, 3,    3026.06,  117.6,    1.2599
"64", 4.16, 1,    1074.45,    1.8,   0.44736, 2,    1131.02, -120.4,   0.47091, 3,    3018.85,  117.6,    1.2569
"65", 4.16, 1,    1073.66,    1.8,   0.44703, 2,    1130.86, -120.3,   0.47084, 3,    3009.56,  117.6,    1.2531
"66", 4.16, 1,    1074.31,    1.7,    0.4473, 2,    1131.69, -120.2,   0.47119, 3,    3004.65,  117.6,     1.251
"67", 4.16, 1,    1017.02,    1.6,   0.42344, 2,    1076.72, -120.5,    0.4483, 3,    2775.35,  118.0,    1.1555
"68", 4.16, 1,     1015.1,    1.6,   0.42264, 0, 0, 0, 0, 0, 0, 0, 0
"72", 4.16, 1,    1018.17,    1.7,   0.42392, 2,    1075.34, -120.5,   0.44773, 3,    2776.43,  117.9,     1.156
"97", 4.16, 1,    899.752,    1.6,   0.37462, 2,    953.373, -120.4,   0.39694, 3,     2815.3,  117.9,    1.1722
"69", 4.16, 1,     1012.9,    1.5,   0.42173, 0, 0, 0, 0, 0, 0, 0, 0
"70", 4.16, 1,    1011.34,    1.5,   0.42108, 0, 0, 0, 0, 0, 0, 0, 0
"71", 4.16, 1,    1010.46,    1.5,   0.42071, 0, 0, 0, 0, 0, 0, 0, 0
"73", 4.16, 3,    2769.67,  117.9,    1.1532, 0, 0, 0, 0, 0, 0, 0, 0
"76", 4.16, 1,    1017.85,    1.8,   0.42379, 2,     1074.7, -120.6,   0.44746, 3,    2779.65,  117.9,    1.1573
"74", 4.16, 3,    2763.84,  117.9,    1.1507, 0, 0, 0, 0, 0, 0, 0, 0
"75", 4.16, 3,    2760.67,  117.8,    1.1494, 0, 0, 0, 0, 0, 0, 0, 0
"77", 4.16, 1,    1019.05,    1.9,   0.42429, 2,    1075.23, -120.7,   0.44768, 3,    2785.26,  117.9,    1.1597
"86", 4.16, 1,    1016.82,    1.9,   0.42336, 2,    1074.22, -120.7,   0.44726, 3,    2784.46,  118.0,    1.1593
"78", 4.16, 1,    1019.36,    1.9,   0.42442, 2,    1075.54, -120.7,   0.44781, 3,    2786.58,  117.9,    1.1602
"79", 4.16, 1,    1018.66,    2.0,   0.42413, 2,    1076.52, -120.6,   0.44822, 3,    2787.58,  117.9,    1.1606
"80", 4.16, 1,     1022.3,    2.0,   0.42564, 2,     1074.9, -120.8,   0.44754, 3,    2790.76,  117.8,     1.162
"81", 4.16, 1,    1023.41,    2.0,    0.4261, 2,    1074.96, -120.8,   0.44757, 3,    2792.16,  117.7,    1.1625
"82", 4.16, 1,    1024.15,    2.1,   0.42641, 2,    1075.19, -120.8,   0.44767, 3,    2795.64,  117.7,     1.164
"84", 4.16, 3,    2784.08,  117.7,    1.1592, 0, 0, 0, 0, 0, 0, 0, 0
"83", 4.16, 1,     1025.3,    2.1,   0.42689, 2,    1075.25, -120.9,   0.44769, 3,    2799.21,  117.6,    1.1655
"85", 4.16, 3,     2780.3,  117.6,    1.1576, 0, 0, 0, 0, 0, 0, 0, 0
"87", 4.16, 1,    1015.91,    2.0,   0.42298, 2,    1074.13, -120.8,   0.44722, 3,    2787.45,  118.1,    1.1606
"88", 4.16, 1,    1015.74,    2.0,   0.42291, 0, 0, 0, 0, 0, 0, 0, 0
"89", 4.16, 1,    1015.33,    2.1,   0.42274, 2,    1074.38, -120.8,   0.44733, 3,    2789.31,  118.1,    1.1614
"90", 4.16, 2,    1074.12, -120.8,   0.44722, 0, 0, 0, 0, 0, 0, 0, 0
"91", 4.16, 1,    1015.02,    2.2,   0.42261, 2,    1074.53, -120.7,   0.44739, 3,    2790.68,  118.1,    1.1619
"92", 4.16, 3,    2790.13,  118.1,    1.1617, 0, 0, 0, 0, 0, 0, 0, 0
"93", 4.16, 1,    1014.29,    2.2,   0.42231, 2,    1075.15, -120.7,   0.44765, 3,    2791.86,  118.2,    1.1624
"94", 4.16, 1,    1013.41,    2.2,   0.42194, 0, 0, 0, 0, 0, 0, 0, 0
"95", 4.16, 1,     1013.8,    2.3,   0.42211, 2,    1075.76, -120.7,    0.4479, 3,    2793.53,  118.2,    1.1631
"96", 4.16, 2,    1075.42, -120.7,   0.44776, 0, 0, 0, 0, 0, 0, 0, 0
"98", 4.16, 1,    771.203,    1.6,    0.3211, 2,      817.1, -120.4,   0.34021, 3,    2860.61,  117.8,     1.191
"99", 4.16, 1,    514.769,    1.5,   0.21433, 2,    544.258, -120.4,   0.22661, 3,    2951.35,  117.6,    1.2288
"100", 4.16, 1,    374.916,    1.5,    0.1561, 2,    395.692, -120.3,   0.16475, 3,    3000.72,  117.5,    1.2494
"450", 4.16, 1,   0.298812,  -49.4, 0.00012441, 2,    0.31315,  159.5, 0.00013038, 3,    3136.16,  117.2,    1.3058
"197", 4.16, 1,    899.752,    1.6,   0.37462, 2,    953.373, -120.4,   0.39694, 3,     2815.3,  117.9,    1.1722
"101", 4.16, 1,    899.349,    1.6,   0.37445, 2,     953.91, -120.4,   0.39717, 3,    2814.07,  117.9,    1.1717
"102", 4.16, 3,    2809.55,  117.9,    1.1698, 0, 0, 0, 0, 0, 0, 0, 0
"105", 4.16, 1,    897.601,    1.6,   0.37372, 2,    954.905, -120.4,   0.39758, 3,    2815.45,  118.0,    1.1722
"103", 4.16, 3,    2804.33,  117.9,    1.1676, 0, 0, 0, 0, 0, 0, 0, 0
"104", 4.16, 3,    2798.71,  117.8,    1.1653, 0, 0, 0, 0, 0, 0, 0, 0
"106", 4.16, 2,     953.55, -120.4,   0.39702, 0, 0, 0, 0, 0, 0, 0, 0
"108", 4.16, 1,    895.611,    1.6,    0.3729, 2,    957.056, -120.4,   0.39848, 3,    2816.53,  118.1,    1.1727
"107", 4.16, 2,    951.819, -120.5,    0.3963, 0, 0, 0, 0, 0, 0, 0, 0
"109", 4.16, 1,    891.186,    1.5,   0.37105, 0, 0, 0, 0, 0, 0, 0, 0
"300", 4.16, 1,    894.383,    1.8,   0.37238, 2,    961.496, -120.3,   0.40033, 3,    2820.57,  118.3,    1.1744
"110", 4.16, 1,    889.083,    1.4,   0.37018, 0, 0, 0, 0, 0, 0, 0, 0
"111", 4.16, 1,    888.275,    1.4,   0.36984, 0, 0, 0, 0, 0, 0, 0, 0
"112", 4.16, 1,    888.382,    1.4,   0.36989, 0, 0, 0, 0, 0, 0, 0, 0
"113", 4.16, 1,    886.176,    1.4,   0.36897, 0, 0, 0, 0, 0, 0, 0, 0
"114", 4.16, 1,    885.721,    1.3,   0.36878, 0, 0, 0, 0, 0, 0, 0, 0
"135", 4.16, 1,    1988.28,    0.2,   0.82784, 2,    2071.73, -120.4,   0.86258, 3,    2737.72,  118.9,    1.1399
"152", 4.16, 1,    2005.56,    0.6,   0.83503, 2,     2079.8, -120.3,   0.86594, 3,    2758.14,  118.9,    1.1484
"160R", 4.16, 1,    1182.94,    1.7,   0.49253, 2,    1247.98, -120.6,   0.51961, 3,    2733.19,  117.6,     1.138
"160", 4.16, 1,    1076.15,    1.8,   0.44806, 2,    1135.51, -120.6,   0.47278, 3,    3036.88,  117.6,    1.2644
"61S", 4.16, 1,    1076.15,    1.8,   0.44806, 2,    1135.51, -120.6,   0.47278, 3,    3036.88,  117.6,    1.2644
"300_OPEN", 4.16, 1,    1969.91,   -0.1,   0.82019, 2,    2052.99, -120.6,   0.85478, 3,    2717.79,  118.6,    1.1316
"94_OPEN", 4.16, 1,    1644.18,    1.8,   0.68457, 0, 0, 0, 0, 0, 0, 0, 0
"610", 0.48, 1,    171.266,  -21.7,     0.618, 2,    182.719, -100.0,   0.65933, 3,     274.67,  117.7,   0.99113
